“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"1",94,94,107,121,181,506,918,1392,2043,3045,3859,5732,9742
"2",53,52,51,68,150,425,846,1240,1800,2301,3612,5410,9250
"3",40,37,50,58,114,415,834,1168,1730,2450,3588,5385,9141
"4",54,61,56,92,111,434,780,1291,1675,2673,3568,5655,9702
"5",27,39,49,80,116,415,728,1062,1726,2365,3561,5550,9198
"6",27,43,38,68,146,398,775,1290,1772,2545,3595,5621,9756
"7",27,32,32,64,123,373,736,1117,1802,2660,3728,5725,9354
"8",31,28,37,82,141,402,876,1255,1845,2496,4144,5845,9044
"9",32,55,46,75,132,413,808,1129,1859,2387,3892,5559,8970
"10",33,34,47,80,115,333,857,1162,1824,2411,3580,5459,9626
"11",41,34,35,83,158,370,807,1131,1763,2345,3660,5503,9023
"12",39,35,51,82,109,412,715,1228,1721,2424,3812,5831,9797
"13",35,47,53,86,129,397,742,1197,1796,2510,3554,5330,8975
"14",34,44,56,104,125,499,733,1196,1806,2550,3731,5406,9164
"15",39,44,63,77,121,359,714,1173,1923,2428,3510,5644,9811
"16",42,44,47,56,97,355,723,1459,1746,2434,3890,5464,9367
"17",42,51,41,64,161,429,714,1127,1663,2288,4117,5284,9124
"18",30,49,44,66,115,420,831,1157,1873,2456,3762,5588,9242
"19",27,45,42,71,94,408,841,1176,1640,2457,3471,6064,8819
"20",33,52,55,91,106,412,774,1161,1704,2593,3912,5542,9520
"21",28,47,60,69,118,558,797,1123,1863,2356,3668,5106,9398
"22",36,72,47,78,133,392,746,1153,1755,2481,4099,5311,9200
"23",31,32,61,92,113,407,801,1068,1797,2398,3890,5807,9682
"24",36,45,63,75,129,422,822,1140,1698,2388,3748,5721,10170
"25",33,51,64,105,103,417,812,1208,1817,2354,3656,5202,9811
"26",25,52,60,79,122,417,838,1184,1862,2299,3404,5483,8636
"27",28,53,65,65,147,426,744,1165,1745,2547,3545,5596,9127
"28",30,51,67,60,135,419,786,1112,1827,2161,3459,5823,9531
"29",59,54,70,75,103,418,738,1126,1748,2471,3654,5286,9309
"30",31,57,75,69,117,384,826,1122,1719,2483,3533,6310,9428
"31",27,74,56,62,113,398,861,1127,1659,2504,3620,5420,9189
"32",29,62,73,82,119,381,755,1170,1875,2332,3646,5311,9100
"33",32,74,70,82,112,448,862,1217,1825,2432,3702,5633,9059
"34",42,37,45,71,136,383,787,1204,1748,2349,4155,5406,9079
"35",36,52,59,74,157,369,844,1062,2003,2244,3679,5239,9533
"36",41,52,46,68,98,452,765,1169,1819,2438,3750,5828,9596
"37",40,52,56,70,109,479,758,1151,1734,2415,3559,5541,9316
"38",37,53,54,68,101,461,814,1120,1763,2384,3519,5679,10138
"39",30,58,64,71,87,411,739,1135,1845,2463,3581,5970,9626
"40",29,61,74,86,120,352,766,1154,1750,2448,3729,5411,9203
"41",28,82,59,72,114,479,706,1262,1826,2261,3816,5952,9180
"42",31,75,72,87,164,415,742,1220,1901,2472,3469,5223,9912
"43",35,46,55,81,128,393,824,1325,1834,2381,3744,5229,9249
"44",35,51,64,103,98,394,797,1134,1719,2359,3447,5156,9510
"45",36,53,48,55,119,545,724,1209,1896,2325,3668,5354,9213
"46",32,51,65,71,96,376,800,1196,1754,2536,3405,5736,9015
